"gene","statistic","estimate","p_value","method"
"CUL4A","688812.856744401","0.158758365246425","0.0386572512273665","Spearman's rank correlation rho"
"ERCC5","637233.192415172","0.193624763471571","0.0119109576708275","Spearman's rank correlation rho"
"ESD","659712.026738225","0.165179328488132","0.0323786618469594","Spearman's rank correlation rho"
"F10","669562.344364997","0.182268862103923","0.0173632327738631","Spearman's rank correlation rho"
"FARP1","619858.822396352","0.186915777562485","0.0158942486283495","Spearman's rank correlation rho"
"FOXO1","637215.634531459","0.20787674092355","0.00668720273623925","Spearman's rank correlation rho"
"GJB2","626654.182062595","0.234672257665018","0.00206785534575013","Spearman's rank correlation rho"
"GJB6","677245.300312514","0.158115831743183","0.0400547014975259","Spearman's rank correlation rho"
"GPC6","565844.233395189","0.244190642754803","0.00157320226624932","Spearman's rank correlation rho"
"GPR183","655178.602759351","0.19983561072618","0.00898243565273795","Spearman's rank correlation rho"
"GRK1","690872.763614796","0.156242617454954","0.0418873597045412","Spearman's rank correlation rho"
"HS6ST3","636871.198106278","0.164600221542092","0.0340755255500595","Spearman's rank correlation rho"
"KL","642056.205432","0.157798918572057","0.0423084324172002","Spearman's rank correlation rho"
"KLF12","574936.591073845","0.232045800398251","0.00270807279376568","Spearman's rank correlation rho"
"LATS2","573966.405285114","0.247114001632948","0.00132868354395369","Spearman's rank correlation rho"
"NUFIP1","692010.825479672","0.1548527115984","0.0437670292027479","Spearman's rank correlation rho"
"PCID2","677916.677092789","0.172065782337933","0.024853508016866","Spearman's rank correlation rho"
"RBM26","679375.764570062","0.170283810467618","0.0264127568967993","Spearman's rank correlation rho"
"RFC3","637525.298224096","0.163742222161465","0.0350328586616111","Spearman's rank correlation rho"
"SERP2","608997.178261023","0.215428207791359","0.00517486386671556","Spearman's rank correlation rho"
"SLC7A1","627108.542244221","0.192095315937547","0.0128832771731743","Spearman's rank correlation rho"
"SLITRK1","681299.761578717","0.153075727737659","0.0469289057306014","Spearman's rank correlation rho"
"SLITRK6","665599.207647218","0.187109009291324","0.0145568141889471","Spearman's rank correlation rho"
"THSD1","653224.086334291","0.187976621830974","0.0143884024633824","Spearman's rank correlation rho"
"TSC22D1","654937.832379111","0.171220746530045","0.0264786319429379","Spearman's rank correlation rho"
"UPF3A","632074.898387586","0.200152233503088","0.0092877391053461","Spearman's rank correlation rho"
"XPO4","658228.403951815","0.152003560926578","0.0498819190845416","Spearman's rank correlation rho"
"EPSTI1","409141.260671689","0.286961901931529","0.000353753093909785","Spearman's rank correlation rho"
"GPC5","542799.036683506","0.189755438435177","0.0165907646777858","Spearman's rank correlation rho"
"ABCD4","635379.74936139","0.210158931229936","0.0060976058152514","Spearman's rank correlation rho"
"ACOT6","687625.826955689","0.160208075236853","0.036893034807753","Spearman's rank correlation rho"
"ADCY4","690169.350421674","0.157101690363793","0.0407597899716356","Spearman's rank correlation rho"
"ANGEL1","596301.831696558","0.217816067715752","0.0048160467802692","Spearman's rank correlation rho"
"APEX1","663497.577425634","0.189675713478015","0.0132360548989025","Spearman's rank correlation rho"
